ds,yhat,yhat_lower,yhat_upper
2020-01-01,345.512712,-61.426662676955075,783.2837544155435
2020-01-02,346.0181095873973,-37.44076615732831,756.2452740573777
2020-01-03,346.52350717479453,-105.10329585767983,745.393443686649
2020-01-04,347.02890476219176,-59.40703054057843,771.7238190259008
2020-01-05,347.53430234958904,-103.75987798608122,795.7056138247636
2020-01-06,348.0396999369863,-84.53821100070684,782.6827430055977
2020-01-07,348.5450975243836,-92.00117858399807,762.0325563242745
2020-01-08,349.05049511178083,-103.91156225775563,749.8259077549478
2020-01-09,349.55589269917806,-99.81603307131779,805.2255361858482
2020-01-10,350.06129028657534,-59.96093389103139,749.130732167199
2020-01-11,350.5666878739726,-58.1872003457331,764.7226440969496
2020-01-12,351.07208546136985,-106.0250092261674,772.302038298979
2020-01-13,351.57748304876714,-101.47406502446937,765.1507196588416
2020-01-14,352.0828806361644,-66.33026435924535,774.1584824523902
2020-01-15,352.58827822356164,-86.27853833913495,761.4330827130069
2020-01-16,353.09367581095887,-84.49369132466228,777.638222783203
2020-01-17,353.59907339835615,-78.00613442563984,746.7723277744564
2020-01-18,354.10447098575344,-70.70929744601662,773.0238849298889
2020-01-19,354.6098685731507,-53.12663702497536,793.6936710409005
2020-01-20,355.11526616054795,-99.80012550156523,768.5522424006197
2020-01-21,355.62066374794523,-104.86139332248612,779.7288822779446
2020-01-22,356.12606133534246,-63.50567308616072,783.4405296373001
2020-01-23,356.63145892273974,-68.79928641551486,776.5711581968585
2020-01-24,357.13685651013697,-74.01861257461967,803.9866621630385
2020-01-25,357.64225409753425,-72.9856770647252,788.6895038849539
2020-01-26,358.14765168493153,-124.3978991807922,750.1666278987508
2020-01-27,358.6530492723288,-82.21738068293055,794.3499332759766
2020-01-28,359.15844685972604,-52.462117527188816,798.2246435201156
2020-01-29,359.66384444712327,-51.581539816908055,815.5423811044001
2020-01-30,360.16924203452055,-91.71167988471804,808.2036668674068
2020-01-31,360.67463962191783,-65.68047877937695,817.6998449036265
2020-02-01,361.18003720931506,-63.957308556907776,800.4442185449202
2020-02-02,361.68543479671234,-68.51208090827069,783.8642297384173
2020-02-03,362.1908323841096,-85.76155299871664,784.1377110108664
